"TIME","SAIDA","STEP"
0.3976246875,0.809642,1
0.3976247175,0.809642,1
0.3976451341,0.809754,1
0.397706504,0.810089,1
0.3989339018,0.816785,1
0.399657317,0.820691,1
0.3996646875,0.820731,1
0.399665956,0.820737,1
0.3996851338,0.820841,1
0.4009738795,0.827728,1
0.4016966875,0.831552,1
0.4017046875,0.831594,1
0.4017046975,0.831594,1
0.4017251334,0.831702,1
0.4017455894,0.831809,1
0.4030138575,0.838449,1
0.4037369973,0.842196,1
0.4037446875,0.842236,1
0.4037453167,0.842239,1
0.4037651331,0.842342,1
0.4050538361,0.848951,1
0.4057846875,0.852662,1
0.4058051328,0.852765,1
0.407093815,0.85924,1
0.4078168374,0.862836,1
0.4078246875,0.862875,1
0.4078249971,0.862877,1
0.4078451325,0.862977,1
0.408479236,0.866098,1
0.4091337944,0.86932,1
0.4098617936,0.872867,1
0.4098646875,0.872881,1
0.4098749048,0.87293,1
0.4098851321,0.87298,1
0.4111737742,0.879194,1
0.4118967574,0.882645,1
0.4119046875,0.882683,1
0.4119048373,0.882683,1
0.4119251318,0.88278,1
0.4122319467,0.884229,1
0.4132137544,0.888867,1
0.4139392356,0.892259,1
0.4139446875,0.892285,1
0.413949791,0.892309,1
0.4139651315,0.89238,1
0.415253735,0.898343,1
0.4159767175,0.901655,1
0.4159846875,0.901691,1
0.4159847574,0.901692,1
0.4160051312,0.901785,1
0.4161483073,0.902434,1
0.417293716,0.907627,1
0.4180179566,0.910876,1
0.4180246875,0.910906,1
0.4180272342,0.910918,1
0.4180451309,0.910998,1
0.4193336973,0.916721,1
0.4200566975,0.919899,1
0.4200646875,0.919934,1
0.4200647175,0.919934,1
0.4200851307,0.920023,1
0.4201464901,0.92029,1
0.4213736791,0.925629,1
0.4220973171,0.928745,1
0.4221046875,0.928777,1
0.4221059558,0.928782,1
0.4221251304,0.928865,1
0.4234136612,0.934356,1
0.4241366875,0.937406,1
0.4241446875,0.93744,1
0.4241446975,0.93744,1
0.4241651301,0.937526,1
0.4241855827,0.937611,1
0.4254536437,0.942905,1
0.4261769973,0.945894,1
0.4261846875,0.945926,1
0.4261853166,0.945929,1
0.4262051298,0.94601,1
0.4274936265,0.95128,1
0.4282246875,0.954239,1
0.4282451296,0.954322,1
0.4295336097,0.959484,1
0.4302568374,0.962352,1
0.4302646875,0.962383,1
0.4302649971,0.962384,1
0.4302851293,0.962464,1
0.4309191353,0.964952,1
0.4315735932,0.96752,1
0.4323017944,0.970349,1
0.4323046875,0.97036,1
0.4323149033,0.9704,1
0.4323251291,0.970439,1
0.433613577,0.975393,1
0.4343367575,0.978145,1
0.4343446875,0.978175,1
0.4343448373,0.978175,1
0.4343651288,0.978252,1
0.4346718984,0.979408,1
0.4356535612,0.983105,1
0.436379236,0.985809,1
0.4363846875,0.98583,1
0.4363897903,0.985849,1
0.4364051286,0.985906,1
0.4376935457,0.990659,1
0.4384167175,0.993299,1
0.4384246875,0.993328,1
0.4384247574,0.993329,1
0.4384451283,0.993403,1
0.4385882841,0.993918,1
0.4404567575,1.00065,1
0.4404573171,1.00065,1
0.4404648373,1.00067,1
0.4404659557,1.00068,1
0.440791887,1.00184,1
0.4424966875,1.00784,1
0.4424992361,1.00785,1
0.4425046975,1.00787,1
0.4425097901,1.00789,1
0.4425455782,1.00801,1
0.443813501,1.01241,1
0.4445369973,1.01489,1
0.4445446875,1.01492,1
0.4445453166,1.01492,1
0.4445651277,1.01499,1
0.4458534867,1.01935,1
0.4465768374,1.0218,1
0.4465846875,1.02182,1
0.446584997,1.02182,1
0.4466051274,1.02189,1
0.4472390751,1.02401,1
0.4486168374,1.02856,1
0.4486217949,1.02858,1
0.448624997,1.02859,1
0.4486349024,1.02862,1
0.4492790682,1.03072,1
0.449933459,1.03285,1
0.4506617949,1.0352,1
0.4506646875,1.03521,1
0.4506749023,1.03524,1
0.450685127,1.03528,1
0.4526967575,1.04167,1
0.4526968374,1.04167,1
0.4527048373,1.0417,1
0.452704997,1.0417,1
0.4530318662,1.04273,1
0.4533590549,1.04375,1
0.4547392363,1.04804,1
0.454741795,1.04805,1
0.4547497898,1.04807,1
0.4547549021,1.04809,1
0.4567767175,1.05426,1
0.4567767575,1.05426,1
0.4567847574,1.05428,1
0.4567848373,1.05428,1
0.4569482687,1.05477,1
0.4571118598,1.05527,1
0.4588179569,1.06036,1
0.4588192363,1.06036,1
0.4588272336,1.06039,1
0.4588297897,1.06039,1
0.4601333944,1.06423,1
0.4608566975,1.06633,1
0.4608646875,1.06635,1
0.4608647175,1.06635,1
0.460885126,1.06641,1
0.4609464716,1.06659,1
0.4628968374,1.07218,1
0.4628973172,1.07218,1
0.462904997,1.07221,1
0.4629059555,1.07221,1
0.4635590239,1.07406,1
0.4649366875,1.07791,1
0.4649417952,1.07793,1
0.4649446975,1.07794,1
0.4649549016,1.07796,1
0.4649855738,1.07805,1
0.4669767575,1.08353,1
0.4669769974,1.08353,1
0.4669848373,1.08355,1
0.4669853165,1.08355,1
0.4673118449,1.08444,1
0.4682933472,1.08708,1
0.4690192364,1.08903,1
0.4690246875,1.08905,1
0.4690297895,1.08906,1
0.4690451253,1.0891,1
0.4710567175,1.09441,1
0.4710568374,1.09441,1
0.4710647574,1.09443,1
0.471064997,1.09443,1
0.4712282585,1.09486,1
0.4717190013,1.09613,1
0.473097957,1.09969,1
0.4731017954,1.0997,1
0.4731072334,1.09971,1
0.4731149012,1.09973,1
0.4744133143,1.10303,1
0.4751367575,1.10485,1
0.4751446875,1.10487,1
0.4751448373,1.10487,1
0.4751651248,1.10493,1
0.4754718341,1.10569,1
0.4771768374,1.10992,1
0.4771792365,1.10992,1
0.477184997,1.10994,1
0.4771897893,1.10995,1
0.4778389855,1.11154,1
0.4792167175,1.11487,1
0.4792217955,1.11488,1
0.4792247574,1.11489,1
0.479234901,1.11492,1
0.4793882532,1.11528,1
0.4812567575,1.11973,1
0.481257957,1.11973,1
0.4812648373,1.11975,1
0.4812672334,1.11975,1
0.4815918265,1.12052,1
0.4832966975,1.12448,1
0.4832992366,1.12449,1
0.4833047175,1.1245,1
0.4833097892,1.12451,1
0.4833864642,1.12469,1
0.4853367175,1.12914,1
0.4853373173,1.12914,1
0.4853447574,1.12916,1
0.4853459554,1.12916,1
0.4855082496,1.12953,1
0.4873766875,1.1337,1
0.4873779571,1.1337,1
0.4873846975,1.13372,1
0.4873872333,1.13372,1
0.4874255702,1.13381,1
0.4894166975,1.13817,1
0.4894169974,1.13817,1
0.4894247175,1.13818,1
0.4894253165,1.13819,1
0.4895064624,1.13836,1
0.4907332358,1.14099,1
0.4914573173,1.14254,1
0.4914646875,1.14256,1
0.4914659554,1.14256,1
0.4914851236,1.1426,1
0.4934966875,1.14683,1
0.4934968375,1.14683,1
0.4935046975,1.14684,1
0.493504997,1.14684,1
0.4935455694,1.14693,1
0.4941589478,1.14819,1
0.4955369974,1.15102,1
0.4955417958,1.15103,1
0.4955453164,1.15104,1
0.4955549004,1.15106,1
0.4968532094,1.15369,1
0.4975767575,1.15513,1
0.4975846875,1.15515,1
0.4975848372,1.15515,1
0.4976051232,1.15519,1
0.4979118084,1.1558,1
0.4996168375,1.15916,1
0.4996192367,1.15916,1
0.499624997,1.15918,1
0.4996297889,1.15918,1
0.5002789351,1.16045,1
0.5016567175,1.1631,1
0.5016617959,1.16311,1
0.5016647574,1.16312,1
0.5016749002,1.16314,1
0.5018282409,1.16343,1
0.5036967575,1.16696,1
0.5036979571,1.16696,1
0.5037048372,1.16698,1
0.5037072332,1.16698,1
0.5040318023,1.16759,1
0.5057366975,1.17074,1
0.5057392367,1.17075,1
0.5057447174,1.17076,1
0.5057497888,1.17077,1
0.5058264582,1.1709,1
0.5077767175,1.17444,1
0.5077773173,1.17445,1
0.5077847574,1.17446,1
0.5077859553,1.17446,1
0.507948238,1.17475,1
0.5098166875,1.17807,1
0.5098179571,1.17807,1
0.5098246975,1.17808,1
0.5098272331,1.17809,1
0.5098655674,1.17815,1
0.5118566975,1.18162,1
0.5118569974,1.18162,1
0.5118647174,1.18163,1
0.5118653164,1.18164,1
0.5119464568,1.18177,1
